English,Albanian,Amharic,Arabic,Bahasa Indonesia,Belarussian,Cantonese,Farsi,Hausa,Hindi,Hungarian,Igbo,Indonesian,Japanese,Korean,Oromo,Malaysian,Mandarin,Polish,Portugese,Russian,Serbo-Croat,Shona,Spanish,Swahili,Tagalog,Thai,Turkish,Yoruba,Zulu
Transvestite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transsexual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transgender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Man dressed as woman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Murdered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stabbed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mutilated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dismembered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suicide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
